Round,Global Train Loss,Global Validation Loss,Global Top1 Accuracy (%),Global Top5 Accuracy (%),Precision,Recall,F1-Score,Participants,Clients
34,0.19751218719402366,0.35124066823720934,87.44,99.83,0.8784883457168816,0.8744,0.8679349274238995,5,"[17, 43, 41, 39, 0]"
35,0.09731809730308051,0.5576003141880035,84.49,99.79,0.8738926028224522,0.8449,0.8361888865255857,5,"[37, 11, 40, 43, 4]"
36,0.11112684934599862,0.8531461049079895,74.59,99.11,0.8256109051735185,0.7459,0.7068573737691651,5,"[33, 38, 49, 2, 3]"
37,0.24323207929988203,0.38628047261238097,86.62,99.83,0.8751287400219738,0.8662,0.8591175593147964,5,"[42, 1, 37, 4, 15]"
38,0.18869341578089277,0.3889133120775223,85.32,99.86,0.8715008924140426,0.8532,0.8450324437533951,5,"[49, 8, 23, 12, 4]"
39,0.10233244363207177,0.543431674695015,81.37,99.82,0.8506624704241891,0.8137,0.8031211372969099,5,"[6, 9, 37, 46, 3]"
40,0.16788612666239153,0.4251254018545151,85.27,99.76,0.8685390122561238,0.8527,0.840868383200894,5,"[44, 16, 29, 10, 49]"
41,0.2171309007508678,0.36979299129247667,86.62,99.72,0.8726295977414382,0.8662,0.8645542346511649,5,"[29, 46, 0, 15, 44]"
42,0.07046819255136913,0.4639396426677704,86.11,99.73,0.8859154560928139,0.8611,0.8472794219924311,5,"[41, 6, 48, 32, 22]"
43,0.20345822613657338,0.5342622977256775,82.65,99.67,0.8611358022499158,0.8265,0.8120783129737593,5,"[4, 12, 10, 23, 42]"
44,0.14436514548258825,0.4571128080010414,85.7,99.78,0.8833774112527177,0.857,0.8450813058581569,5,"[1, 23, 15, 14, 16]"
45,0.12758416366870742,0.3799769184947014,86.99,99.8,0.8841754905845189,0.8699,0.8601041167325215,5,"[25, 21, 32, 20, 23]"
46,0.13449069008421616,0.46980706841945646,85.09,99.76,0.8808395435844399,0.8509,0.8403485821079605,5,"[23, 47, 1, 48, 11]"
47,0.09463892423352097,0.4013411557197571,85.99,99.65,0.8799792805055877,0.8599,0.8447100042427528,5,"[18, 14, 46, 27, 2]"
48,0.16598940519948896,0.39001673579216,86.13,99.8,0.8764429310617546,0.8613,0.8566329593007794,5,"[19, 6, 2, 15, 28]"
49,0.15824366223695244,0.4128316888332367,86.5,99.69,0.8798630717726256,0.865,0.8504718520527267,5,"[42, 16, 2, 35, 27]"
50,0.061628307678172525,0.42526748076677323,86.26,99.62,0.8788359388182884,0.8626,0.8458341047238448,5,"[49, 3, 18, 40, 20]"
51,0.14116503051252507,0.5547380125522614,82.84,99.66,0.8687981353320143,0.8284,0.8130942879399984,5,"[7, 8, 24, 45, 27]"
52,0.07965297307384697,0.45874828262329104,85.23,99.7,0.8725483773968723,0.8523,0.842049781414057,5,"[17, 38, 30, 35, 45]"
53,0.06950708414983985,0.3325931264877319,88.39,99.78,0.8885898957344754,0.8839,0.8778137290100371,5,"[17, 19, 43, 14, 30]"
54,0.10116799773647558,0.4561816448688507,84.61,99.73,0.8780076236842599,0.8461,0.8447246754120038,5,"[46, 24, 7, 2, 37]"
55,0.11786173796698818,0.3521380855679512,87.62,99.8,0.8877300939015463,0.8762,0.875667337466002,5,"[49, 9, 23, 36, 17]"
56,0.15528865135252037,0.4553525140285492,83.82,99.72,0.8704595199409779,0.8382,0.8294301184791848,5,"[18, 23, 10, 34, 28]"
57,0.06177749359931021,0.3916749116837978,87.12,99.71,0.8852295516570464,0.8712,0.864413107181482,5,"[37, 43, 40, 6, 17]"
58,0.12513379131712585,0.6235730563163757,81.3,99.76,0.8737177675412098,0.813,0.7968339288151196,5,"[33, 4, 42, 45, 47]"
59,0.10064215619401704,0.5847393196821212,80.8,99.77,0.8646437822421656,0.808,0.7922906055015053,5,"[13, 19, 6, 23, 31]"
60,0.23592780756291312,0.3713104948759079,85.92,99.85,0.8771416943026809,0.8592,0.8593518415417096,5,"[46, 37, 6, 39, 8]"
61,0.11945258940679657,0.3216121792554855,88.53,99.74,0.88778673155995,0.8853,0.8843064862705685,5,"[37, 5, 11, 27, 35]"
62,0.11125216251225209,0.4346276005744934,85.43,99.62,0.8676056636243695,0.8543,0.8455776988528707,5,"[17, 31, 44, 7, 24]"
63,0.04466511192595959,0.6501182592868805,80.44,99.69,0.8675677449176675,0.8044,0.7884797032361129,5,"[40, 31, 6, 4, 2]"
