Round,Global Train Loss,Global Validation Loss,Global Top1 Accuracy (%),Global Top5 Accuracy (%),Precision,Recall,F1-Score,Participants,Clients
52,0.06542101438861472,0.32335057797431943,88.54,99.78,0.893701669462433,0.8854,0.8845439088086973,5,"[17, 38, 30, 35, 45]"
53,0.056373097267554864,0.3008993468284607,89.34,99.8,0.8971938044531885,0.8934,0.8886295616110225,5,"[17, 19, 43, 14, 30]"
54,0.08623510449341248,0.38816849249601365,86.57,99.83,0.8867762257336433,0.8657,0.8662177449298876,5,"[46, 24, 7, 2, 37]"
55,0.09517841817248239,0.31310400965213775,88.71,99.9,0.8945447640085502,0.8871,0.8876918206698263,5,"[49, 9, 23, 36, 17]"
56,0.12574695843957603,0.28906819857358934,89.59,99.83,0.8983397106489796,0.8959,0.8938625908050187,5,"[18, 23, 10, 34, 28]"
57,0.04606239878601801,0.3189382914543152,88.97,99.79,0.8966741149629374,0.8897,0.8872591920326804,5,"[37, 43, 40, 6, 17]"
58,0.09556977772046227,0.31247051125764846,88.63,99.82,0.8940902303843854,0.8863,0.8845975008118924,5,"[33, 4, 42, 45, 47]"
59,0.07099944200020057,0.40495672854185105,85.66,99.81,0.8793817202952571,0.8566,0.8517834666604531,5,"[13, 19, 6, 23, 31]"
60,0.17759739641948566,0.30563581709861753,88.69,99.85,0.9000972029467857,0.8869,0.8890912502527135,5,"[46, 37, 6, 39, 8]"
61,0.08693579064485726,0.2800341349720955,90.04,99.83,0.9018939890376673,0.9004,0.8983045142637814,5,"[37, 5, 11, 27, 35]"
62,0.08331766755011505,0.32570597814321517,88.86,99.82,0.8936206369664466,0.8886,0.8850993470749782,5,"[17, 31, 44, 7, 24]"
63,0.04378363807853562,0.3961794365644455,86.91,99.76,0.8888003032734348,0.8691,0.8591220826985582,5,"[40, 31, 6, 4, 2]"
64,0.1506514183871191,0.31947333843708037,89.08,99.84,0.8954323386097891,0.8908,0.8893878881909353,5,"[2, 28, 39, 35, 22]"
65,0.08863528658137013,0.3493217881321907,87.71,99.85,0.8926133858517711,0.8771,0.8744007098915819,5,"[4, 36, 11, 49, 41]"
66,0.08663300505328178,0.3092062068939209,88.85,99.75,0.8946110184634873,0.8885,0.8858918492191937,5,"[6, 34, 3, 17, 15]"
67,0.044269832885889954,0.35175932229757306,87.68,99.76,0.8922738849520638,0.8768,0.8702328299713318,5,"[37, 27, 10, 40, 31]"
68,0.1326260200921618,0.28664802404642103,89.66,99.88,0.9075832294344469,0.8966,0.8985710378456606,5,"[7, 28, 27, 37, 12]"
69,0.09217857912241624,0.3160240453600883,88.97,99.76,0.8964206067461903,0.8897,0.8858815823601918,5,"[16, 13, 7, 30, 23]"
70,0.07779793925379194,0.3527239278316498,86.83,99.88,0.8999707641048384,0.8683,0.870570754240997,5,"[9, 14, 2, 12, 46]"
71,0.13010749156475893,0.41619326972961423,85.65,99.87,0.8922033908245345,0.8565,0.862106021810572,5,"[23, 42, 9, 26, 44]"
72,0.08264106048153036,0.331080914580822,88.33,99.8,0.8894357803815277,0.8833,0.8773569803058302,5,"[0, 11, 17, 32, 27]"
73,0.136526202492125,0.3125483619868755,88.74,99.88,0.8987618711682568,0.8874,0.8879944295593758,5,"[38, 24, 26, 15, 42]"
74,0.05279783745491692,0.4587649419307709,85.1,99.78,0.8855740141748082,0.851,0.8410895907918082,5,"[22, 31, 12, 48, 19]"
75,0.0952312750155799,0.3626296077609062,86.18,99.9,0.9027028784089735,0.8618,0.8669478396697415,5,"[49, 46, 26, 9, 14]"
76,0.08778010272323782,0.27720049418210985,89.97,99.86,0.9036061059255251,0.8997,0.8991439015526957,5,"[11, 43, 47, 5, 25]"
77,0.0511962359045802,0.3388523519992828,88.2,99.76,0.8918155235025897,0.882,0.8774996916943608,5,"[33, 10, 18, 49, 6]"
